SolutionFound,Evaluations,Fitness,CrossoverProbability,MutationProbability(MutantGenes/GeneNumber),GeneNumber,DeviationFromOptimum(%),ExecutionNumber
false,50512,944.0,0.9,0.001953125,1024,7.8125,20
false,50512,948.0,0.9,0.001953125,1024,7.421875,21
false,50512,952.0,0.9,0.001953125,1024,7.03125,22
false,50512,954.0,0.9,0.001953125,1024,6.8359375,23
false,50512,957.0,0.9,0.001953125,1024,6.54296875,24
false,50512,944.0,0.9,0.001953125,1024,7.8125,25
false,50512,948.0,0.9,0.001953125,1024,7.421875,26
false,50512,943.0,0.9,0.001953125,1024,7.91015625,27
false,50512,953.0,0.9,0.001953125,1024,6.93359375,28
false,50512,950.0,0.9,0.001953125,1024,7.2265625,29
false,50512,936.0,0.8,0.00390625,1024,8.59375,0
false,50512,930.0,0.8,0.00390625,1024,9.1796875,1
false,50512,922.0,0.8,0.00390625,1024,9.9609375,2
false,50512,928.0,0.8,0.00390625,1024,9.375,3
false,50512,928.0,0.8,0.00390625,1024,9.375,4
false,50512,935.0,0.8,0.00390625,1024,8.69140625,5
false,50512,932.0,0.8,0.00390625,1024,8.984375,6
false,50512,927.0,0.8,0.00390625,1024,9.47265625,7
false,50512,928.0,0.8,0.00390625,1024,9.375,8
false,50512,921.0,0.8,0.00390625,1024,10.05859375,9
false,50512,923.0,0.8,0.00390625,1024,9.86328125,10
false,50512,933.0,0.8,0.00390625,1024,8.88671875,11
false,50512,937.0,0.8,0.00390625,1024,8.49609375,12
false,50512,929.0,0.8,0.00390625,1024,9.27734375,13
false,50512,930.0,0.8,0.00390625,1024,9.1796875,14
false,50512,936.0,0.8,0.00390625,1024,8.59375,15
false,50512,932.0,0.8,0.00390625,1024,8.984375,16
false,50512,921.0,0.8,0.00390625,1024,10.05859375,17
false,50512,932.0,0.8,0.00390625,1024,8.984375,18
false,50512,926.0,0.8,0.00390625,1024,9.5703125,19
false,50512,925.0,0.8,0.00390625,1024,9.66796875,20
false,50512,929.0,0.8,0.00390625,1024,9.27734375,21
false,50512,932.0,0.8,0.00390625,1024,8.984375,22
false,50512,938.0,0.8,0.00390625,1024,8.3984375,23
false,50512,936.0,0.8,0.00390625,1024,8.59375,24
false,50512,933.0,0.8,0.00390625,1024,8.88671875,25
false,50512,934.0,0.8,0.00390625,1024,8.7890625,26
false,50512,934.0,0.8,0.00390625,1024,8.7890625,27
false,50512,928.0,0.8,0.00390625,1024,9.375,28
false,50512,927.0,0.8,0.00390625,1024,9.47265625,29
